Model,1st Layer,2nd Layer,3rd Layer,4th Layer
model_715,c_9,c_10,c_8,c_8
model_716,c_3,c_10,c_3,m_3
model_717,c_3,s,-,-
model_718,m_2,c_6,c_1,c_9
model_719,c_8,c_8,c_12,s
model_720,c_3,c_8,c_4,c_8
model_721,c_12,m_2,c_2,c_9
model_722,c_8,m_2,c_10,c_10
model_723,m_3,m_2,m_2,s
model_724,c_12,m_3,c_10,c_9
model_725,c_5,c_6,c_1,m_2
model_726,c_4,c_10,c_2,c_8
model_727,c_12,c_1,c_11,s
model_728,c_3,m_2,c_9,c_9
model_729,c_6,m_3,c_3,s
model_730,c_11,c_5,c_3,c_6
model_731,c_9,c_4,c_8,m_2
model_732,c_6,c_9,c_3,c_8
model_733,c_3,c_3,c_9,c_11
model_734,c_4,c_2,c_3,c_6
model_735,c_11,c_11,c_2,c_2
model_736,c_6,c_8,c_10,c_6
model_737,c_4,c_3,m_1,c_5
model_738,c_6,c_7,c_6,c_7
model_739,c_4,c_1,c_3,c_11
model_740,c_11,c_12,c_4,c_4
model_741,c_12,c_1,c_3,c_2
model_742,c_6,c_7,m_3,c_7
model_743,c_5,m_2,c_9,c_5
model_744,c_8,c_2,c_4,s
model_745,c_12,c_6,c_2,c_2
model_746,c_9,m_3,c_3,c_11
model_747,c_3,c_8,c_9,c_11
model_748,c_5,m_3,m_2,c_8
model_749,c_12,c_10,c_2,s
model_750,c_7,c_10,c_5,m_1
model_751,c_11,c_2,c_4,c_5
model_752,c_3,c_9,s,-
model_753,c_11,c_3,s,-
model_754,m_3,c_1,c_8,c_8
model_755,c_9,c_7,c_11,m_1
model_756,c_3,m_3,c_11,c_8
model_757,c_7,c_7,c_5,s
model_758,c_12,c_3,c_8,c_7
model_759,c_4,m_3,c_1,m_3
model_760,c_7,c_9,c_11,c_4
model_761,c_2,c_10,m_3,m_3
model_762,c_11,c_7,s,-
model_763,c_4,m_1,s,-
model_764,c_7,c_4,c_5,c_10
model_765,c_9,c_5,c_1,c_7
model_766,c_7,c_8,c_5,c_6
model_767,c_9,c_12,c_5,m_1
model_768,c_12,c_4,c_3,c_6
model_769,c_8,c_8,c_3,c_5
model_770,m_3,c_8,c_3,c_3
model_771,c_3,c_9,c_3,c_12
model_772,c_3,c_1,m_2,c_6
model_773,c_7,c_2,c_4,c_3
model_774,c_3,c_5,c_2,m_1
model_775,c_2,m_3,c_12,c_12
model_776,c_4,c_11,c_11,c_9
model_777,m_2,s,-,-
model_778,c_2,m_3,s,-
model_779,c_7,c_3,c_9,c_11
model_780,c_8,m_1,c_5,c_1
model_781,c_12,c_12,c_11,c_8
model_782,c_10,c_7,c_6,c_9
model_783,c_12,c_10,c_9,m_2
model_784,c_11,c_3,c_12,c_5
model_785,c_7,m_1,s,-
model_786,c_1,c_1,m_1,s
model_787,c_8,c_3,c_1,c_6
model_788,c_11,c_11,c_10,c_3
model_789,c_6,c_6,c_7,c_1
model_790,c_12,c_3,m_1,c_6
model_791,c_9,c_5,c_4,c_8
model_792,c_5,c_5,c_2,c_3
model_793,c_1,c_3,c_1,m_1
model_794,c_7,c_1,c_9,-
model_795,c_12,c_1,c_9,c_1
model_796,c_6,c_7,c_5,c_5
model_797,c_3,c_5,c_6,c_6
model_798,c_11,c_8,c_2,m_3
model_799,c_12,c_12,c_6,m_1
model_800,c_12,m_1,c_3,c_7
model_801,c_6,c_2,c_1,c_5
model_802,c_12,c_5,c_2,c_4
model_803,c_1,c_1,s,-
model_804,c_5,c_10,c_2,s
model_805,c_7,c_5,c_4,s
model_806,c_4,c_10,c_3,c_10
model_807,c_12,c_12,c_7,c_9
model_808,c_11,m_3,m_1,m_1
model_809,c_7,c_7,c_8,c_11
model_810,c_12,c_12,m_3,c_1
model_811,c_8,c_5,c_10,m_1
model_812,c_8,c_9,c_3,c_12
model_813,c_10,m_1,c_4,s
model_814,c_3,c_7,m_2,c_9
model_815,c_10,c_12,c_8,s
model_816,c_8,c_12,c_10,c_3
model_817,c_4,c_10,c_5,c_12
model_818,c_5,c_6,c_2,m_1
model_819,c_3,m_1,c_12,m_2
model_820,c_10,c_4,c_7,m_2
model_821,c_5,c_4,c_8,m_3
model_822,c_5,c_8,s,-
model_823,c_6,c_1,m_3,c_11
model_824,c_11,c_11,s,-
model_825,c_5,c_8,c_8,c_11
model_826,c_1,c_12,m_3,c_4
model_827,c_4,m_3,c_5,m_3
model_828,c_11,c_2,c_3,c_12
model_829,c_1,m_1,c_4,c_10
model_830,m_3,m_2,c_1,m_2
model_831,c_5,c_2,c_7,c_8
model_832,c_7,c_10,m_1,c_8
model_833,c_3,c_2,c_3,c_4
model_834,c_4,c_9,m_2,c_10
model_835,c_11,c_4,c_8,s
model_836,c_10,c_6,c_2,c_3
model_837,c_6,m_1,c_12,c_11
model_838,c_10,c_10,c_3,c_11
model_839,c_5,c_3,m_1,c_10
model_840,c_12,c_8,c_12,m_1
model_841,c_10,c_11,c_6,c_3
model_842,c_8,c_8,c_3,c_10
model_843,c_10,m_3,c_8,c_10
model_844,c_4,c_8,m_1,c_9
model_845,m_3,m_1,c_4,c_9
model_846,c_10,c_12,c_12,c_5
model_847,c_2,c_10,c_7,c_9
model_848,c_9,c_5,s,-
model_849,c_8,c_7,c_5,m_2
model_850,c_3,c_2,c_12,c_10
model_851,c_9,c_12,m_1,m_2
model_852,c_5,c_9,c_1,c_4
model_853,c_7,c_1,c_7,c_5
model_854,c_6,m_3,c_12,c_6
model_855,c_9,c_10,m_3,c_12
model_856,c_4,m_3,c_6,c_10
model_857,c_7,c_4,c_12,c_5
model_858,c_2,c_9,c_1,c_2
model_859,c_5,c_4,m_1,s
model_860,c_9,m_1,c_9,c_6
model_861,c_8,c_5,m_2,c_8
model_862,c_9,c_7,c_2,m_2
model_863,c_3,c_2,c_9,m_2
model_864,c_9,c_11,c_1,m_2
model_865,c_11,c_10,c_8,c_5
model_866,c_4,m_2,c_10,c_3
model_867,c_10,c_3,m_3,c_8
model_868,c_9,c_12,c_11,-
model_869,c_11,c_7,m_1,c_6
model_870,c_1,c_6,m_1,c_6
model_871,c_8,c_10,c_7,c_2
model_872,c_2,c_12,c_2,c_11
model_873,c_11,m_1,c_10,c_12
model_874,c_12,c_5,c_6,c_6
model_875,c_10,c_6,m_2,c_12
model_876,c_11,c_11,c_9,m_1
model_877,c_12,c_8,m_3,c_5
model_878,c_5,c_9,c_3,m_2
model_879,m_3,c_3,c_2,c_5
model_880,c_10,m_1,c_6,c_8
model_881,c_2,c_8,c_10,m_3
model_882,c_7,c_2,c_4,c_4
model_883,c_10,c_4,c_4,c_2
model_884,c_5,c_4,s,-
model_885,c_5,c_1,m_1,-
model_886,c_10,c_7,c_7,c_5
model_887,c_7,c_3,c_6,c_11
model_888,c_12,c_11,c_2,c_8
model_889,c_6,c_5,c_3,c_6
model_890,c_11,c_2,c_1,m_2
model_891,c_2,c_7,m_2,c_1
model_892,c_9,c_5,c_8,c_5
model_893,c_1,c_11,c_1,c_9
model_894,c_12,c_7,c_12,-
model_895,c_9,m_2,c_3,c_1
model_896,c_5,c_8,c_6,s
model_897,c_8,c_9,c_2,c_12
model_898,c_10,c_8,c_8,m_1
model_899,c_8,c_4,c_3,c_10
model_900,c_5,m_1,c_5,c_10
model_901,c_11,c_2,c_3,m_1
model_902,c_3,m_3,c_1,c_9
model_903,c_10,c_2,c_7,c_8
model_904,c_7,m_3,c_12,c_3
model_905,c_4,c_6,c_4,c_1
model_906,c_11,m_3,m_3,c_1
model_907,c_12,c_4,c_4,c_11
model_908,c_12,c_4,c_12,c_12
model_909,m_3,c_8,c_8,c_9
model_910,c_1,c_4,c_6,m_1
model_911,c_8,c_11,s,-
model_912,c_1,c_4,c_10,c_9
model_913,c_6,c_5,c_5,c_5
model_914,c_1,c_7,c_7,c_1
model_915,c_6,c_11,s,-
model_916,m_2,c_3,m_3,c_9
model_917,c_8,m_3,c_2,m_3
model_918,c_9,c_3,m_1,c_8
model_919,c_8,m_1,c_2,c_2
model_920,m_2,c_7,c_8,c_10
model_921,c_9,c_11,c_3,m_2
model_922,c_3,c_1,s,-
model_923,c_3,c_12,m_1,m_2
model_924,m_3,m_2,c_2,c_1
model_925,c_7,m_2,c_5,c_11
model_926,c_5,c_3,c_1,m_1
model_927,c_3,c_10,s,-
model_928,c_7,c_8,c_5,c_3
model_929,c_1,c_7,c_11,m_2
model_930,c_10,c_2,c_2,m_1
model_931,c_8,m_1,c_11,c_10
model_932,c_6,c_9,c_6,c_8
model_933,c_8,m_3,c_12,c_1
model_934,c_5,m_2,c_4,c_4
model_935,m_1,c_4,c_1,c_7
model_936,c_8,c_9,c_9,c_9
model_937,c_1,m_1,c_4,c_6
model_938,c_10,c_9,c_7,m_3
model_939,c_6,c_10,m_1,c_2
model_940,c_7,c_11,m_3,m_2
model_941,c_7,c_6,c_12,c_9
model_942,c_6,c_12,s,-
model_943,c_7,c_6,c_11,c_3
model_944,c_9,s,-,-
model_945,c_5,c_5,c_10,c_12
model_946,c_2,c_2,c_6,c_4
model_947,c_3,c_10,c_10,c_5
model_948,c_10,c_3,c_11,c_12
model_949,c_2,c_12,m_1,c_6
model_950,c_2,c_1,s,-
model_951,c_1,c_9,c_2,c_10
model_952,m_3,c_11,c_2,c_12
model_953,c_12,c_7,c_6,c_12
model_954,c_6,c_2,m_2,c_8
model_955,c_8,c_7,c_7,c_8
model_956,c_3,c_5,c_9,c_2
model_957,c_2,c_10,c_4,c_1
model_958,c_9,c_3,c_7,c_10
model_959,c_4,c_6,c_7,c_7
model_960,c_8,c_12,m_2,c_9
model_961,c_11,c_8,c_11,m_1
model_962,c_8,c_9,c_2,c_6
model_963,c_11,c_4,c_9,c_12
model_964,c_7,c_1,m_1,c_12
model_965,c_7,c_5,c_3,c_1
model_966,c_6,m_3,c_8,m_3
model_967,c_10,c_7,c_6,m_2
model_968,c_4,m_3,c_2,c_4
model_969,c_12,c_2,c_11,s
model_970,m_3,c_3,c_12,m_3
model_971,c_11,m_3,c_4,m_2
model_972,m_2,c_3,c_9,c_1
model_973,c_10,c_5,c_7,c_11
model_974,c_12,c_3,c_8,m_3
model_975,m_3,c_11,c_9,c_3
model_976,c_11,c_2,c_7,c_8
model_977,c_3,c_3,c_2,c_5
model_978,c_7,c_1,c_6,c_5
model_979,c_10,m_2,c_8,c_7
model_980,c_10,c_10,c_8,m_1
model_981,c_4,m_1,c_1,c_3
model_982,c_12,c_1,c_5,c_10
model_983,c_4,c_7,c_3,c_5
model_984,c_10,c_2,c_9,c_12
model_985,c_8,c_11,c_1,c_11
model_986,c_8,c_2,c_9,c_12
model_987,c_8,c_9,c_9,m_2
model_988,c_11,c_7,m_2,s
model_989,m_3,c_11,c_10,c_9
model_990,c_6,c_9,m_3,c_9
model_991,c_5,c_6,c_5,c_3
model_992,c_11,c_6,c_2,c_3
model_993,c_9,c_11,c_6,c_10
model_994,c_9,c_7,c_8,c_11
model_995,c_8,c_1,m_3,c_2
model_996,c_5,m_2,c_9,c_8
model_997,c_1,c_4,m_2,s
model_998,c_10,m_2,m_3,c_2
model_999,c_4,c_12,c_9,c_9
model_1000,c_3,c_9,c_12,c_5
model_1,m_3,m_1,c_10,m_1
model_2,c_10,m_3,c_1,c_11
model_3,c_8,c_2,c_5,c_9
model_4,c_2,c_1,c_3,c_11
model_5,c_2,c_4,c_3,c_8
model_6,c_1,c_10,c_4,c_6
model_7,c_11,c_8,c_1,c_4
model_8,c_11,m_1,m_2,c_3
model_9,c_6,c_6,c_8,c_6
model_10,c_1,m_3,c_2,-
model_11,c_2,c_10,c_12,c_6
model_12,m_2,c_10,c_7,c_1
model_13,c_10,c_7,c_5,c_12
model_14,c_4,c_9,m_1,c_10
model_15,c_6,c_7,c_7,c_4
model_16,c_10,c_8,m_3,m_2
model_17,c_12,c_12,c_7,c_1
model_18,c_9,c_4,c_2,c_12
model_19,c_2,c_8,c_11,c_1
model_20,c_9,c_4,c_10,c_8
model_21,c_1,c_6,c_3,c_7
model_22,c_9,c_8,s,-
model_23,c_12,c_5,c_12,c_12
model_24,c_2,c_11,m_1,c_10
model_25,c_11,c_10,c_8,c_6
model_26,c_12,c_4,c_9,m_3
model_27,c_4,c_3,c_7,c_8
model_28,c_9,c_9,c_12,c_8
model_29,c_4,c_12,c_11,c_1
model_30,c_7,c_4,s,-
model_31,c_2,c_3,c_12,c_12
model_32,c_5,c_9,c_12,c_2
model_33,c_9,c_10,c_11,c_10
model_34,c_8,m_3,c_3,c_9
model_35,c_6,c_3,m_3,c_8
model_36,c_12,c_7,c_6,c_9
model_37,c_2,c_10,c_5,m_2
model_38,c_10,m_3,c_7,c_5
model_39,c_3,c_10,m_1,c_2
model_40,c_11,c_11,s,-
model_41,c_6,c_4,s,-
model_42,c_11,c_1,m_2,c_5
model_43,c_10,c_6,c_7,c_9
model_44,c_11,s,-,-
model_45,c_10,c_4,c_12,c_7
model_46,c_10,c_6,c_10,m_1
model_47,c_1,s,-,-
model_48,c_4,c_8,c_10,c_6
model_49,c_7,c_2,c_12,c_9
model_50,c_3,c_7,c_5,c_12
model_51,c_11,c_2,c_3,m_3
model_52,c_12,c_4,c_4,c_10
model_53,c_3,m_1,m_2,m_2
model_54,c_8,m_1,m_3,m_3
model_55,c_1,c_9,c_1,c_11
model_56,c_3,c_1,c_9,c_2
model_57,c_7,m_2,s,-
model_58,c_2,m_3,s,-
model_59,c_12,m_2,c_5,m_1
model_60,c_3,c_9,m_1,c_1
model_61,c_5,c_5,c_1,-
model_62,c_10,c_5,c_8,c_3
model_63,c_7,c_7,c_3,c_9
model_64,c_9,c_2,m_2,c_11
model_65,c_3,c_5,c_2,c_6
model_66,c_12,c_11,m_3,c_3
model_67,c_8,c_5,c_2,s
model_68,c_4,c_1,c_1,c_10
model_69,c_9,c_11,c_9,c_10
model_70,c_11,m_3,c_11,c_7
model_71,m_2,c_3,s,-
model_72,c_4,c_4,c_4,m_3
model_73,c_8,c_6,s,-
model_74,c_1,c_5,c_3,c_10
model_75,c_5,m_3,c_10,c_2
model_76,c_3,c_6,c_5,m_2
model_77,c_1,c_2,c_2,m_1
model_78,c_7,c_8,c_9,c_3
model_79,c_12,c_4,c_9,c_9
model_80,c_8,c_6,c_8,c_2
model_81,c_1,c_1,c_1,c_12
model_82,c_5,c_4,m_2,c_9
model_83,c_1,c_6,c_7,c_12
model_84,c_9,c_7,c_8,c_11
model_85,c_5,m_3,c_12,c_11
model_86,c_1,c_3,c_5,c_3
model_87,c_12,c_10,c_8,c_7
model_88,c_10,c_11,c_9,c_11
model_89,c_3,c_11,c_9,c_12
model_90,c_7,s,-,-
model_91,c_8,c_9,m_2,c_5
model_92,c_9,c_3,c_5,c_12
model_93,c_5,c_8,c_6,c_8
model_94,c_6,c_2,c_10,c_9
model_95,c_6,m_1,c_2,c_4
model_96,c_12,c_5,c_12,-
model_97,c_1,c_4,c_11,c_7
model_98,c_3,m_1,c_3,m_1
model_99,c_4,c_6,c_6,c_7
model_100,c_1,c_8,c_8,m_3
model_101,c_8,c_5,s,-
model_102,c_5,c_2,c_2,c_6
model_103,c_3,c_10,c_9,c_7
model_104,c_8,m_3,c_6,c_4
model_105,c_10,c_10,c_4,c_6
model_106,c_7,m_1,m_1,-
model_107,c_2,c_6,c_3,c_8
model_108,c_2,c_9,c_7,c_2
model_109,c_10,c_9,c_11,c_6
model_110,c_8,c_12,c_2,c_5
model_111,c_6,c_5,c_1,c_1
model_112,c_12,c_7,m_1,m_2
model_113,c_10,c_2,c_11,m_2
model_114,c_11,c_10,c_2,s
model_115,c_5,c_11,c_9,c_8
model_116,c_9,c_9,c_1,c_9
model_117,c_4,m_3,m_2,m_3
model_118,c_7,c_7,c_11,-
model_119,c_3,c_12,m_2,c_10
model_120,c_12,m_1,c_1,c_3
model_121,c_9,c_11,s,-
model_122,c_9,c_1,m_1,c_4
model_123,c_3,c_5,c_3,c_10
model_124,m_2,c_12,c_5,m_3
model_125,c_1,m_2,m_2,c_10
model_126,c_12,c_10,c_1,c_5
model_127,c_12,c_3,c_12,c_11
model_128,c_2,c_8,s,-
model_129,c_1,c_6,c_12,c_4
model_130,c_4,c_9,c_2,c_11
model_131,c_7,m_1,c_7,c_12
model_132,c_12,c_7,s,-
model_133,c_10,c_3,c_4,c_11
model_134,c_2,c_12,c_6,c_5
model_135,c_2,c_12,c_3,m_1
model_136,c_9,m_3,m_1,m_3
model_137,c_7,c_7,c_11,c_8
model_138,c_5,c_12,c_1,c_10
model_139,c_8,m_1,c_3,c_4
model_140,c_7,c_5,m_2,c_2
model_141,c_10,c_11,c_6,c_8
model_142,c_6,c_4,c_7,c_10
model_143,c_9,c_7,s,-
model_144,c_6,c_11,c_3,s
model_145,c_11,c_2,c_4,c_2
model_146,c_4,c_2,c_5,c_6
model_147,c_6,c_1,c_7,c_6
model_148,c_11,m_1,c_1,m_3
model_149,c_8,c_5,c_5,c_8
model_150,c_7,c_8,c_5,m_3
model_151,c_2,c_6,c_8,c_9
model_152,c_12,c_7,c_3,c_1
model_153,c_12,c_5,c_7,c_10
model_154,c_5,m_2,m_2,m_3
model_155,c_5,m_1,c_3,s
model_156,c_4,c_9,c_5,c_10
model_157,c_12,c_11,c_4,m_3
model_158,c_8,m_1,c_7,c_10
model_159,c_4,c_2,s,-
model_160,c_4,m_2,c_3,c_12
model_161,m_2,m_3,c_9,c_9
model_162,c_11,c_7,c_6,c_10
model_163,c_5,m_1,c_2,c_3
model_164,c_2,m_2,m_3,c_3
model_165,c_7,m_1,c_5,c_8
model_166,c_5,c_10,c_8,c_4
model_167,c_10,c_1,c_4,c_4
model_168,c_9,c_7,c_5,c_2
model_169,c_5,c_4,m_1,c_10
model_170,c_3,c_3,c_10,c_1
model_171,c_10,c_6,c_11,-
model_172,c_5,c_2,c_11,c_12
model_173,c_2,c_9,s,-
model_174,c_12,c_1,c_4,c_3
model_175,c_6,c_10,c_4,c_4
model_176,c_9,c_6,c_5,c_10
model_177,c_9,c_1,m_2,c_8
model_178,c_9,c_11,c_4,s
model_179,c_11,c_1,s,-
model_180,c_12,c_6,c_1,c_6
model_181,c_2,c_4,m_2,c_10
model_182,c_7,c_6,c_4,s
model_183,c_5,c_6,m_3,c_8
model_184,c_7,c_2,m_3,c_12
model_185,m_1,c_12,m_2,m_2
model_186,c_12,c_9,c_7,c_2
model_187,c_6,c_6,m_3,c_5
model_188,c_2,c_3,s,-
model_189,c_5,c_10,m_2,c_6
model_190,c_1,c_9,c_3,c_4
model_191,c_5,m_1,c_11,c_6
model_192,c_10,c_6,c_12,c_2
model_193,c_6,c_7,m_1,c_7
model_194,c_1,c_3,m_2,c_5
model_195,c_2,c_6,m_3,c_3
model_196,c_2,c_7,c_7,c_8
model_197,c_10,m_2,c_1,c_10
model_198,c_12,m_3,c_6,c_1
model_199,c_10,m_2,c_11,m_1
model_200,c_11,m_3,m_3,c_3
model_201,c_7,c_3,c_10,c_1
model_202,c_7,c_8,c_11,c_4
model_203,c_8,c_2,m_1,c_5
model_204,c_6,c_8,c_2,c_10
model_205,c_1,m_3,c_11,c_11
model_206,c_2,c_2,c_7,m_2
model_207,c_9,c_1,c_4,s
model_208,c_1,c_8,m_1,c_3
model_209,c_8,m_2,c_1,c_5
model_210,c_2,c_1,c_4,c_12
model_211,c_12,c_3,c_1,m_1
model_212,c_11,c_9,c_4,c_11
model_213,c_6,c_1,m_3,-
model_214,c_8,m_1,c_12,m_2
model_215,c_1,m_3,c_3,s
model_216,c_6,m_2,c_1,c_5
model_217,c_10,c_9,m_2,c_7
model_218,c_10,c_7,c_5,c_1
model_219,c_1,m_1,c_9,c_1
model_220,c_10,c_3,c_1,c_12
model_221,c_9,c_9,c_5,s
model_222,c_3,c_8,c_5,m_2
model_223,c_12,m_1,m_1,c_10
model_224,c_1,c_5,m_2,c_12
model_225,c_9,c_4,c_7,c_2
model_226,c_4,c_8,c_4,c_2
model_227,c_9,m_1,c_5,c_3
model_228,m_3,c_2,c_9,c_5
model_229,m_2,c_8,c_12,c_2
model_230,c_7,m_2,c_2,m_2
model_231,c_3,m_3,m_1,c_1
model_232,c_2,c_10,m_2,c_1
model_233,c_7,c_6,c_1,c_10
model_234,c_5,c_11,c_3,c_5
model_235,c_3,m_2,c_11,c_8
model_236,c_8,m_1,m_2,c_4
model_237,c_5,c_7,s,-
model_238,c_8,m_1,c_6,c_4
model_239,c_6,c_6,c_6,c_7
model_240,c_6,c_3,c_5,c_3
model_241,c_12,m_2,m_1,c_11
model_242,c_6,c_11,c_5,c_10
model_243,c_1,c_5,c_6,m_3
model_244,c_6,m_1,c_1,c_6
model_245,c_8,m_2,c_10,c_3
model_246,c_1,c_5,c_2,c_11
model_247,c_11,c_6,c_4,c_4
model_248,c_4,m_2,m_3,c_2
model_249,c_7,m_1,c_5,c_11
model_250,c_3,c_10,c_11,-
model_251,c_3,c_11,c_12,m_3
model_252,c_12,c_8,m_3,c_1
model_253,c_8,c_4,c_2,c_6
model_254,c_1,c_12,c_5,c_3
model_255,c_11,c_1,c_9,c_5
model_256,c_12,s,-,-
model_257,c_6,c_10,c_2,c_3
model_258,c_9,c_8,c_11,m_3
model_259,c_9,c_11,c_12,c_5
model_260,c_10,c_6,m_1,c_5
model_261,c_5,c_5,c_3,c_6
model_262,m_1,c_12,m_3,m_1
model_263,c_1,c_12,m_2,c_2
model_264,c_7,c_7,c_12,m_1
model_265,c_1,m_1,c_1,m_3
model_266,c_10,m_2,c_10,m_1
model_267,c_5,m_3,m_1,c_6
model_268,c_4,c_7,c_11,c_7
model_269,c_10,c_9,c_3,m_2
model_270,c_8,m_2,c_3,c_10
model_271,c_9,c_9,c_5,c_12
model_272,c_12,c_8,c_11,c_7
model_273,c_2,c_4,m_2,c_11
model_274,c_5,c_12,c_9,c_12
model_275,c_6,c_2,c_2,c_1
model_276,c_2,c_1,c_4,m_3
model_277,c_12,m_3,m_2,m_2
model_278,c_8,c_1,s,-
model_279,c_8,c_7,c_11,c_10
model_280,c_10,c_1,c_4,m_1
model_281,m_3,c_9,c_8,m_2
model_282,c_11,c_7,c_2,c_5
model_283,c_10,c_3,m_1,c_10
model_284,c_8,c_3,c_4,c_5
model_285,c_9,c_9,s,-
model_286,c_3,c_11,c_8,c_2
model_287,c_9,c_2,s,-
model_288,c_10,c_3,c_9,c_1
model_289,c_3,m_2,c_2,c_9
model_290,c_7,c_1,s,-
model_291,c_3,c_12,c_7,c_5
model_292,c_1,c_3,c_1,c_8
model_293,c_12,c_10,c_1,m_2
model_294,c_8,c_2,c_7,c_10
model_295,c_3,c_9,c_6,c_6
model_296,c_4,c_11,m_1,c_9
model_297,m_1,c_3,c_7,c_1
model_298,c_5,c_6,c_3,c_9
model_299,c_4,c_5,c_4,m_3
model_300,c_5,m_2,c_8,m_3
model_301,c_5,c_3,c_7,s
model_302,c_7,c_2,c_8,c_7
model_303,s,-,-,-
model_304,c_9,c_11,m_1,m_1
model_305,c_1,c_5,c_10,c_6
model_306,c_5,m_1,s,-
model_307,c_6,c_9,c_6,c_10
model_308,c_3,m_2,m_2,c_1
model_309,c_8,c_4,c_5,c_5
model_310,c_10,c_5,c_10,c_6
model_311,c_11,m_1,c_12,c_7
model_312,c_8,c_8,c_3,c_2
model_313,c_11,c_12,c_5,c_2
model_314,c_8,c_4,m_2,c_7
model_315,c_2,c_10,c_2,c_3
model_316,c_4,c_6,c_5,-
model_317,c_9,c_9,c_4,c_9
model_318,c_9,c_3,c_10,c_2
model_319,c_2,c_12,c_8,c_6
model_320,c_10,c_8,c_4,c_10
model_321,c_4,c_2,c_1,s
model_322,c_6,c_7,s,-
model_323,c_9,c_8,m_3,m_1
model_324,c_10,c_4,c_2,c_12
model_325,c_1,c_1,c_4,m_2
model_326,c_1,c_5,m_1,c_4
model_327,c_10,m_1,c_7,c_3
model_328,c_9,m_3,c_7,c_11
model_329,c_12,m_3,c_4,c_4
model_330,c_6,c_7,c_2,c_4
model_331,m_2,c_12,c_6,c_12
model_332,c_12,c_11,c_1,m_2
model_333,c_6,m_1,c_1,c_11
model_334,c_7,c_11,c_1,s
model_335,c_12,m_3,c_10,c_8
model_336,c_5,m_3,c_8,c_9
model_337,c_11,c_3,c_3,c_3
model_338,m_2,c_4,m_1,c_7
model_339,c_4,c_6,c_11,c_7
model_340,c_4,c_1,c_6,m_2
model_341,c_7,c_4,c_1,c_10
model_342,c_8,c_8,c_11,c_8
model_343,c_9,m_2,m_3,m_3
model_344,c_3,c_5,m_2,c_3
model_345,c_11,c_5,c_11,c_12
model_346,c_10,c_12,m_3,m_3
model_347,c_9,c_4,m_2,c_9
model_348,c_8,c_10,c_5,s
model_349,c_5,c_2,s,-
model_350,c_5,c_9,c_11,c_5
model_351,c_12,c_8,c_6,m_3
model_352,c_3,c_7,s,-
model_353,c_7,c_3,m_1,c_2
model_354,m_1,m_3,m_2,c_6
model_355,c_11,c_9,c_6,c_12
model_356,c_4,c_4,c_10,c_9
model_357,m_1,c_7,s,-
model_358,c_7,m_1,c_6,m_1
model_359,c_9,c_3,c_7,c_2
model_360,c_5,c_10,c_12,c_8
model_361,c_12,c_8,m_1,c_4
model_362,c_5,c_12,c_10,m_1
model_363,c_9,c_11,c_12,c_1
model_364,c_6,c_5,c_6,c_3
model_365,c_9,c_6,m_1,c_10
model_366,c_6,c_5,c_5,c_10
model_367,c_2,c_1,m_2,c_12
model_368,c_6,c_8,c_4,c_12
model_369,c_11,c_2,c_1,c_8
model_370,c_1,c_3,c_6,m_2
model_371,c_4,c_10,c_7,c_2
model_372,c_4,s,-,-
model_373,c_4,c_11,c_8,c_7
model_374,c_9,c_10,c_2,c_7
model_375,c_3,c_6,c_7,c_1
model_376,c_11,c_2,s,-
model_377,c_12,c_4,c_5,c_9
model_378,c_1,c_2,c_2,c_10
model_379,c_12,m_3,c_11,c_12
model_380,c_9,m_2,c_8,c_2
model_381,c_11,m_3,m_1,c_6
model_382,c_8,c_6,c_3,c_10
model_383,c_4,c_9,c_11,s
model_384,c_2,c_8,c_1,c_5
model_385,c_11,m_1,c_1,c_11
model_386,c_10,c_12,c_10,c_8
model_387,c_9,c_3,c_12,c_8
model_388,c_4,c_10,c_5,c_4
model_389,c_1,c_11,c_11,c_2
model_390,c_12,c_5,m_1,c_12
model_391,c_12,c_1,c_9,c_5
model_392,c_8,c_6,c_5,s
model_393,c_4,c_9,m_2,c_6
model_394,c_6,m_2,c_1,m_1
model_395,c_9,m_1,s,-
model_396,c_10,c_1,c_12,m_2
model_397,c_3,c_9,c_5,c_5
model_398,c_6,c_1,c_2,m_3
model_399,c_11,m_3,m_1,c_4
model_400,c_6,c_1,m_3,c_5
model_401,c_9,m_1,c_9,m_2
model_402,c_4,c_8,c_4,s
model_403,c_10,m_3,c_5,c_9
model_404,c_7,c_5,c_6,c_5
model_405,c_4,c_9,c_12,c_2
model_406,c_9,c_2,c_5,c_7
model_407,c_9,c_11,c_11,c_8
model_408,c_3,m_2,c_7,c_8
model_409,c_5,c_6,c_2,c_12
model_410,c_12,c_3,m_2,c_7
model_411,c_2,c_2,c_10,m_2
model_412,c_5,c_3,c_10,m_2
model_413,c_8,c_1,m_1,c_1
model_414,c_9,c_6,c_1,s
model_415,c_1,c_8,s,-
model_416,c_12,c_7,c_7,c_12
model_417,c_5,c_9,m_2,c_4
model_418,c_6,c_10,c_2,c_6
model_419,c_9,c_10,c_1,c_12
model_420,c_3,c_8,c_12,c_2
model_421,c_11,c_4,m_1,c_2
model_422,c_4,m_3,c_6,c_6
model_423,c_2,c_5,c_8,c_1
model_424,c_3,c_2,c_5,c_6
model_425,m_3,c_10,s,-
model_426,c_4,c_11,s,-
model_427,c_1,c_7,c_3,c_7
model_428,m_1,c_9,c_10,-
model_429,c_7,c_4,m_2,c_8
model_430,c_7,c_1,c_9,c_9
